Abortiporus biennis,Blushing Rosette
Lactarius tabidus,Birch Milkcap
Lactarius torminosus,Woolly Milkcap
Lactarius turpis,Ugly Milkcap
Lactarius vellereus,Fleecy Milkcap
Lactarius vietus,Grey Milkcap
Lactarius volemus,Fishy Milkcap
Laetinaevia luzulae,Woodrush Disco
Laetiporus sulphureus,Chicken of the Woods
Lanzia echinophila,Hairy Nuts Disco 
Lasiobotrys lonicerae,Honeysuckle Rash
Leccinum aurantiacum,Orange Bolete
Leccinum crocipodium,Saffron Bolete
Leccinum duriusculum,Slate Bolete
Leccinum holopus,Ghost Bolete
Leccinum pseudoscabrum,Hazel Bolete
Leccinum scabrum,Brown Birch Bolete
Leccinum variicolor,Mottled Bolete
Leccinum versipelle,Orange Birch Bolete
Leccinum vulpinum,Foxy Bolete
Lentinellus cochleatus,Aniseed Cockleshell
Lentinus tigrinus,Tiger Sawgill
Lenzites betulinus,Birch Mazegill
Leotia lubrica,Jellybaby
Lepiota aspera,Freckled Dapperling
Lepiota boudieri,Girdled Dapperling
Lepiota brunneoincarnata,Deadly Dapperling
Lepiota brunneolilacea,Star Dapperling
Lepiota castanea,Chestnut Dapperling
Lepiota clypeolaria,Shield Dapperling
Lepiota cristata,Stinking Dapperling
Lepiota felina,Cat Dapperling
Lepiota grangei,Green Dapperling
Lepiota magnispora,Yellowfoot Dapplerling
Lepiota subincarnata,Fatal Dapperling
Lepista flaccida,Tawny Funnel
Lepista irina,Flowery Blewit
Lepista nuda,Wood Blewit
Lepista saeva,Field Blewit
Leptoporus mollis,Soft Bracket
Leptosphaeria acuta,Nettle Rash
Leratiomyces ceres,Redlead Roundhead
Leratiomyces squamosus var. thraustus,Slender Roundhead
Leucoagaricus badhamii,Blushing Dapperling
Leucoagaricus barssii,Smoky Dapperling
Leucoagaricus leucothites,White Dapperling
Leucoagaricus sublittoralis,Apricot Dapperling
Leucocoprinus birnbaumii,Plantpot Dapperling
Leucocoprinus brebissonii,Skullcap Dapperling
Leucocortinarius bulbiger,White Webcap
Leucopaxillus gentianeus,Bitter Funnel
Leucopaxillus giganteus,Giant Funnel
Lichenomphalia alpina,Sunburst Lichen
Lichenomphalia umbellifera,Heath Navel
Limacella guttata,Weeping Slimecap
Limacella illinita,Dripping Slimecap
Limacella ochraceolutea,Ochre Slimecap
Lophodermium hedericola,Ivy Leaf Split
Lophodermium juniperinum,Juniper Split
Lophodermium neesii,Holly Leaf Split
Lophodermium pinastri,Pine Needle Split
Loreleia marchantiae,Liverwort Navel
Lycoperdon caudatum,Pedicel Puffball
Lycoperdon decipiens,Steppe Puffball
Lycoperdon echinatum,Spiny Puffball
Lycoperdon ericaeum,Heath Puffball
Lycoperdon excipuliforme,Pestle Puffball
Lycoperdon lividum,Grassland Puffball
Lycoperdon mammiforme,Flaky Puffball
Lycoperdon molle,Soft Puffball
Lycoperdon nigrescens,Dusky Puffball
Lycoperdon perlatum,Common Puffball
Lycoperdon pratense,Meadow Puffball
Lycoperdon pyriforme,Stump Puffball
Lycoperdon radicatum,Rooting Puffball
Lycoperdon utriforme,Mosaic Puffball
Lyophyllum connatum,White Domecap
Lyophyllum decastes,Clustered Domecap
Lyophyllum gangraenosum,Smoky Domecap
Macrocystidia cucumis,Cucumber Cap
Macrolepiota mastoidea,Slender Parasol
Macrolepiota procera,Parasol
Macrotyphula fistulosa,Pipe Club
Macrotyphula juncea,Slender Club
Marasmiellus ramealis,Twig Parachute
Marasmiellus vaillantii,Goblet Parachute
Marasmius buxi,Box Parachute
Marasmius epiphyllus,Leaf Parachute
Marasmius hudsonii,Holly Parachute
Marasmius oreades,Fairy Ring Champignon
Marasmius rotula,Collared Parachute
Marasmius wynnei,Pearly Parachute
Megacollybia platyphylla,Whitelaced Shank
Melampsora vernalis,Saxifrage Rust
Melampsoridium betulinum,Birch Rust
Melanoleuca brevipes,Stunted Cavalier
Melanoleuca cinereifolia,Dune Cavalier
Melanoleuca cognata,Spring Cavalier
Melanoleuca exscissa,Smoky Cavalier
Melanoleuca melaleuca,Bald Knight
Melanoleuca polioleuca,Common Cavalier
Melanoleuca schumacheri,Clouded  Cavalier
Melanoleuca verrucipes,Warty Cavalier
Melanophyllum eyrei,Greenspored Dapperling
Melanophyllum haematospermum,Redspored Dapperling
Melanotaenium cingens,Yellow Toadflax Smut
Melanotaenium endogenum,Bedstraw Smut
Melanotus horizontalis,Wood Oysterling
Melastiza cornubiensis,Orange Cup
Mensularia radiata,Alder Bracket
Meripilus giganteus,Giant Polypore
Merismodes fasciculata,Crowded Cuplet
Metacoleroa dickiei,Twinflower Rust
Microbotryum lychnidis-dioicae,Campion Anther Smut
Microglossum olivaceum,Olive Earthtongue
Microglossum viride,Green Earthtongue
Microstoma protracta,Rosy Goblet
Milesina carpatorum,Male Fern Rust
Milesina vogesiaca,Smooth Spored Fern Rust
Milesina whitei,Shield-fern Rust
Mitrophora semilibera,Semifree Morel
Mitrula paludosa,Bog Beacon
Mitrula sclerotipus,Burning Beacon
Mollisia cinerea,Common Grey Disco
Monilinia johnsonii,Haw Goblet
Morchella elata,Black Morel
Morchella esculenta,Morel
Mucor mucedo,Common Pinmould
Mucronella calva,Swarming Spine
Multiclavula vernalis,Moss Club
Mutinus caninus,Dog Stinkhorn
Mycena acicula,Orange Bonnet
Mycena adonis,Scarlet Bonnet
Mycena adscendens,Frosty Bonnet
Mycena aetites,Drab Bonnet
Mycena amicta,Coldfoot Bonnet
Mycena arcangeliana,Angel's Bonnet
Mycena aurantiomarginata,Golden Edge Bonnet
Mycena capillaripes,Pinkedge Bonnet
Mycena capillaris,Beechleaf Bonnet
Mycena cinerella,Mealy Bonnet
Mycena crocata,Saffrondrop Bonnet
Mycena epipterygia,Yellowleg Bonnet
Mycena filopes,Iodine Bonnet
Mycena flavoalba,Ivory Bonnet
Mycena galericulata,Common Bonnet
Mycena galopus,Milking Bonnet
Mycena galopus var. candida,White Milking Bonnet
Mycena galopus var. nigra,Black Milking Bonnet
Mycena haematopus,Burgundydrop Bonnet
Mycena inclinata,Clustered Bonnet
Mycena latifolia,Sideshoot Bonnet
Mycena leptocephala,Nitrous Bonnet
Mycena megaspora,Rooting Bonnet
Mycena olida,Rancid Bonnet
Mycena olivaceomarginata,Brownedge Bonnet
Mycena pelianthina,Blackedge Bonnet
Mycena picta,Cryptic Bonnet
Mycena polygramma,Grooved Bonnet
Mycena pura,Lilac Bonnet
Mycena purpureofusca,Purple Edge Bonnet
Mycena renati,Beautiful Bonnet
Mycena rorida,Dripping Bonnet
Mycena rosea,Rosy Bonnet
Mycena rosella,Pink Bonnet
Mycena rubromarginata,Red Edge Bonnet
Mycena sanguinolenta,Bleeding Bonnet
Mycena septentrionalis,Pelargonium Bonnet
Mycena speirea,Bark Bonnet
Mycena stylobates,Bulbous Bonnet
Mycena urania,Violet Bonnet
Mycena viridimarginata,Olive Edge Bonnet
Mycena vitilis,Snapping Bonnet
Mycenella salicina,Willow Bonnet
Mycetinis alliaceus,Garlic Parachute
Mycetinis scorodonius,Vampires Bane
Mycocalia duriaeana,Dune Cannon
Mycocalia sphagneti,Bog Cannon
Myriostoma coliforme,Pepper Pot
Naucoria escharioides,Ochre Aldercap
Naucoria striatula,Striate Aldercap
Nectria cinnabarina,Coral Spot
Neobulgaria pura,Beech Jellydisc
Neolentinus adhaerens,Sticky Sawgill
Neolentinus lepideus,Scaly Sawgill
Nyssopsora echinata,Spignel Rust
Octaviania asterosperma,Chalky False Truffle
Octospora humosa,Hotlips
Ombrophila violacea,Violet Jellydisc
Omphalina galericolor,Dune Navel
Omphalina pyxidata,Cinnamon Navel
Omphalotus illudens,Jack O Lantern
Onygena corvina,Feather Stalkball
Onygena equina,Horn Stalkball
Ophiostoma ulmi,Dutch Elm Disease
Orbilia xanthostigma,Common Glasscup
Ossicaulis lignatilis,Mealy Oyster
Otidea alutacea,Tan Ear
Otidea apophysata,Big Ears
Otidea bufonia,Toad's Ear
Otidea cantharella,Cupped Ear
Otidea cochleata,Brown Ear
Otidea onotica,Hare's Ear
Otidea phlebophora,Veined Ear
Oudemansiella mucida,Porcelain Fungus
Oxyporus latemarginatus,Frothy Porecrust
Oxyporus populinus,Poplar Bracket
Pachyella violaceonigra,Midnight Disco
Panaeolina foenisecii,Brown Mottlegill
Panaeolus acuminatus,Dewdrop Mottlegill
Panaeolus cinctulus,Banded Mottlegill
Panaeolus fimicola,Turf Mottlegill
Panaeolus papilionaceus,Petticoat Mottlegill
Panaeolus semiovatus,Egghead Mottlegill
Panellus mitis,Elastic Oysterling
Panellus ringens,Winter Oysterling
Panellus stipticus,Bitter Oysterling
Panus conchatus,Lilac Oysterling
Parasola plicatilis,Pleated Inkcap
Paurocotylis pila,Scarlet Berry Truffle
Paxillus involutus,Brown Rollrim
Peniophora incarnata,Rosy Crust
Perenniporia medulla-panis,Pancake Crust
Peziza ammophila,Dune Cup
Peziza badia,Bay Cup
Peziza cerea,Cellar Cup
Peziza echinospora,Charcoal Cup
Peziza gerardii,Mull Disco
Peziza proteana f. sparassoides,Bonfire Cauliflower
Peziza repanda,Palamino Cup
Peziza saccardiana,Pouch Cup
Peziza succosa,Yellowing Cup
Peziza vacini,Bonfire Disco
Peziza varia,Layered Cup
Peziza vesiculosa,Blistered Cup
Phaeocollybia lugubris,Russet Rootshank
Phaeolepiota aurea,Golden Bootleg
Phaeolus schweinitzii,Dyer's Mazegill
Phaeomarasmius erinaceus,Hedgehog Scalycap
Phallus hadriani,Sand Stinkhorn
Phallus impudicus,Stinkhorn
Phellinus igniarius,Willow Bracket
Phellinus pomaceus,Cushion Bracket
Phellinus tremulae,Aspen Bracket
Phellodon confluens,Fused Tooth
Phellodon melaleucus,Grey Tooth
Phellodon niger,Black Tooth
Phellodon tomentosus,Woolly Tooth
Phlebia radiata,Wrinkled Crust
Phlebia tremellosa,Jelly Rot
Phlebiella sulphurea,Yellow Cobweb
Phleogena faginea,Fenugreek Stalkball
Pholiota alnicola,Alder Scalycap
Pholiota astragalina,Conifer Scalycap
Pholiota aurivella,Golden Scalycap
Pholiota flammans,Flaming Scalycap
Pholiota gummosa,Sticky Scalycap
Pholiota highlandensis,Bonfire Scalycap
Pholiota squarrosa,Shaggy Scalycap
Pholiota subochracea,Ochre Scalycap
Phragmidium acuminatum,Stone Bramble Rust
Phragmidium violaceum,Violet Bramble Rust
Phylloporus pelletieri,Golden Gilled Bolete
Phyllotopsis nidulans,Orange Mock Oyster
Physisporinus sanguinolentus,Bleeding Porecrust
Phytophthora infestans,Potato Blight
Pilobolus crystallinus,Dung Cannon
Piptoporus betulinus,Birch Polypore / Razorstrop Fungus
Piptoporus quercinus,Oak Polypore
Pisolithus arhizus,Dyeball
Pithya cupressina,Juniper Disco
Pithya vulgaris,Fir Disco
Plectania melastoma,Corona Cup
Pleurocybella porrigens,Angel's Wings
Pleurotus cornucopiae,Branching Oyster
Pleurotus dryinus,Veiled Oyster
Pleurotus ostreatus,Oyster Mushroom
Pleurotus pulmonarius,Pale Oyster
Plicariella radula,Toothed Disco
Plicatura crispa,Crimped Gill
Pluteus atromarginatus,Blackedged Shield
Pluteus cervinus,Deer Shield
Pluteus chrysophaeus,Yellow Shield
Pluteus leoninus,Lion Shield
Pluteus nanus,Dwarf Shield
Pluteus pellitus,Ghost Shield
Pluteus phlebophorus,Wrinkled Shield
Pluteus plautus,Satin Shield
Pluteus romellii,Goldleaf Shield
Pluteus salicinus,Willow Shield
Pluteus thomsonii,Veined Shield
Pluteus umbrosus,Velvet Shield
Podoscypha multizonata,Zoned Rosette 
Podosphaera volkartii,Mountain Avens Mildew
Podostroma alutaceum,Dogend
Polyporus brumalis,Winter Polypore
Polyporus ciliatus,Fringed Polypore
Polyporus durus,Bay Polypore
Polyporus leptocephalus,Blackfoot Polypore
Polyporus squamosus,Dryad's Saddle
Polyporus tuberaster,Tuberous Polypore
Polyporus umbellatus,Umbrella Polypore
Polystigma fulvum,Bird Cherry Dotty
Polystigma rubrum,Blackthorn Dotty
Porodaedalea pini,Pine Bracket
Poronia erici,Dung Button
Poronia punctata,Nail Fungus
Porphyrellus porphyrosporus,Dusky Bolete
Porpoloma metapodium,Mealy Meadowcap
Porpoloma spinulosum,Aromatic Meadowcap
Postia caesia,Conifer Blueing Bracket
Postia ptychogaster,Powderpuff Bracket
Postia stiptica,Bitter Bracket
Postia subcaesia,Blueing Bracket
Postia tephroleuca,Greyling Bracket
Psathyrella ammophila,Dune Brittlestem
Psathyrella artemisiae,Petticoat Brittlestem
Psathyrella candolleana,Pale Brittlestem
Psathyrella caput-medusae,Medusa Brittlestem
Psathyrella conopilus,Conical Brittlestem
Psathyrella corrugis,Red Edge Brittlestem
Psathyrella cotonea,Yellowfoot Brittlestem
Psathyrella maculata,Spotted Brittlestem
Psathyrella microrhiza,Rootlet Brittlestem
Psathyrella multipedata,Clustered Brittlestem
Psathyrella piluliformis,Common Stump Brittlestem
Psathyrella solitaria,Solitary Brittlestem
Psathyrella spadicea,Chestnut Brittlestem
Psathyrella spadiceogrisea,Spring Brittlestem
Pseudoboletus parasiticus,Parasitic Bolete
Pseudoclitocybe cyathiformis,Goblet
Pseudocraterellus undulatus,Sinuous Chanterelle
Pseudohydnum gelatinosum,Jelly Tooth
Pseudoinonotus dryadeus,Oak Bracket
Pseudomerulius aureus,Orange Netcrust
Pseudoplectania nigrella,Ebony Cup
Psilocybe cyanescens,Blueleg Brownie
Psilocybe montana,Mountain Brownie
Psilocybe semilanceata,Magic Mushroom / Liberty Cap
Pterula caricis-pendulae,Pendulous Sedge Club
Pterula debilis,Rush Coral
Puccinia albulensis,Alpine Veronica Rust
Puccinia asparagi,Asparagus Rust
Puccinia bulbocastani,Great Pignut Rust
Puccinia cicutae,Cowbane Rust
Puccinia cladii,Great Fen Sedge Rust
Puccinia clintonii,Lousewort Rust
Puccinia eriophori,Deer Grass Rust
Puccinia eutremae,Scurvy-grass Rust
Puccinia hydrocotyles,Rusty Pennies
Puccinia libanotidis,Moon Carrot Rust
Puccinia longissima,Crested Hair-grass Rust
Puccinia mariana,Milk Thistle Rust
Puccinia microsora,Bladder Sedge Rust
Puccinia moliniae,Purple Moor Grass Rust
Puccinia nemoralis,Cow-wheat Clustercup Rust
Puccinia oxyriae,Mountain Sorrel Rust
Puccinia physospermi,Bladder-seed Rust
Puccinia polemonii,Jacob's Ladder Rust
Puccinia pratensis,Meadow Oat-grass Rust
Puccinia ribis,Downy Currant Rust
Puccinia rugulosa,Hog's Fennel Rust
Puccinia scirpi,Common Club Rush Rust
Puccinia scorzonerae,Scorzonera Rust
Puccinia septentrionalis,Alpine Rust
Puccinia thesii,Bastard-toadflax Rust
Puccinia thymi,Thyme Rust
Puccinia urticata,Nettle Clustercup Rust
Pucciniastrum goodyerae,Creeping Ladies Tresses Rust
Pycnoporus cinnabarinus,Cinnabar Bracket
Pycnoporus sanguineus,Blood Red Bracket
Ramaria botrytis,Rosso Coral
Ramaria broomei,Blackening Coral
Ramaria decurrens,Ochre Coral
Ramaria formosa,Salmon Coral
Ramaria stricta,Upright Coral
Ramaria suecica,Parading Coral
Ramariopsis crocea,Orange Coral
Ramariopsis kunzei,Ivory Coral
Ramariopsis pulchella,Lilac Coral
Resupinatus applicatus,Smoked Oysterling
Rhizina undulata,Pine Firefungus
Rhizopogon luteolus,Yellow False Truffle
Rhodocollybia butyracea,Butter Cap
Rhodocollybia maculata,Spotted Toughshank
Rhodocollybia prolixa,Toothed Toughshank
Rhodocybe gemina,Tan Pinkgill
Rhodotus palmatus,Wrinkled Peach
Rhopographus filicinus,Bracken Map
Rhytisma acerinum,Sycamore Tarspot
Rhytisma salicinum,Willow Tarspot
Rickenella fibula,Orange Mosscap
Rickenella swartzii,Collared Mosscap
Rigidoporus ulmarius,Giant Elm Bracket
Rimbachia arachnoidea,Spidery Mossear
Rimbachia bryophila,Veined Mossear
Ripartites tricholoma,Bearded Seamine
Rubinoboletus rubinus,Crimson Bolete
Rugosomyces carneus,Pink Domecap
Rugosomyces chrysenteron,Yellow Domecap
Rugosomyces ionides,Violet Domecap
Rugosomyces onychinus,Lilac Domecap
Russula acetolens,Vinegar Brittlegill
Russula adusta,Winecork Brittlegill
Russula aeruginea,Green Brittlegill
Russula amoenolens,Camembert Brittlegill
Russula aquosa,Red Swamp Brittlegill
Russula atropurpurea,Purple Brittlegill
Russula aurantiaca,Orange Brittlegill
Russula aurea,Gilded Brittlegill
Russula aurora,Dawn Brittlegill
Russula badia,Burning Brittlegill
Russula betularum,Birch Brittlegill
Russula caerulea,Humpback Brittlegill
Russula cessans,Tardy Brittlegill
Russula chloroides,Blue Band Brittlegill
Russula claroflava,Yellow Swamp Brittlegill
Russula cremeoavellanea,Cream Brittlegill
Russula cyanoxantha,Charcoal Burner
Russula decolorans,Copper Brittlegill
Russula delica,Milk White Brittlegill
Russula densifolia,Crowded Brittlegill
Russula emetica,Sickener
Russula exalbicans,Bleached Brittlegill
Russula fellea,Geranium Brittlegill
Russula foetens,Stinking Brittlegill
Russula font-queri,Beautiful Brittlegill
Russula fragilis,Fragile Brittlegill
Russula fusconigra,Dark Brittlegill
Russula gracillima,Slender Brittlegill
Russula grata,Bitter Almond Brittlegill
Russula heterophylla,Greasy Green Brittlegill
Russula illota,Freckled Brittlegill
Russula integra,Nutty Brittlegill
Russula intermedia,Intermediate Brittlegill
Russula ionochlora,Oilslick Brittlegill
Russula laccata,Willow Brittlegill
Russula lilacea,Lilac Brittlegill
Russula melzeri,Scurfy Brittlegill
Russula minutula,Minute Brittlegill
Russula mustelina,Russet Brittlegill
Russula nana,Alpine Brittlegill
Russula nigricans,Blackening Brittlegill
Russula nitida,Purple Swamp Brittlegill
Russula nobilis,Beechwood Sickener
Russula ochroleuca,Ochre Brittlegill
Russula olivacea,Olive Brittlegill
Russula parazurea,Powdery Brittlegill
Russula pelargonia,Pelargonium Brittlegill
Russula pseudointegra,Scarlet Brittlegill
Russula puellaris,Yellowing Brittlegill
Russula queletii,Fruity Brittlegill
Russula raoultii,Pallid Brittlegill
Russula risigallina,Golden Brittlegill
Russula rosea,Rosy Brittlegill
Russula rutila,Ruddy Brittlegill
Russula sanguinaria,Bloody Brittlegill
Russula sardonia,Primrose Brittlegill
Russula scotica,Scottish Brittlegill
Russula solaris,Sunny Brittlegill
Russula sororia,Sepia Brittlegill
Russula velenovskyi,Coral Brittlegill
Russula versicolor,Variable Brittlegill
Russula vesca,The Flirt
Russula vinosa,Darkening Brittlegill
Russula vinosobrunnea,Naked Brittlegill
Russula violeipes,Velvet Brittlegill
Russula virescens,Greencracked Brittlegill
Russula viscida,Viscid Brittlegill
Russula xenochlora,Misfit Brittlegill
Russula xerampelina,Crab Brittlegill
Rutstroemia firma,Brown Cup
Rutstroemia sydowiana,Oakleaf Cup
Sarcodon glaucopus,Greenfoot Tooth
Sarcodon regalis,Crowned Tooth
Sarcodon scabrosus,Bitter Tooth
Sarcodon squamosus,Scaly Tooth
Sarcodontia crocea,Orchard Toothcrust
Sarcoleotia turficola,Bog Jellydisc
Sarcomyxa serotina,Olive Oysterling
Sarcoscypha austriaca,Scarlet Elfcup
Sarcoscypha coccinea,Ruby Elfcup
Sarcosphaera coronaria,Violet Crowncup
Schizonella cocconii,Glaucus Sedge Smut
Schizonella melanogramma,Rare Spring Sedge Smut
Schizophyllum amplum,Poplar Bells
Schizophyllum commune,Splitgill
Schizopora paradoxa,Split Porecrust
Scleroderma areolatum,Leopard Earthball
Scleroderma bovista,Potato Earthball
Scleroderma citrinum,Common Earthball
Scleroderma verrucosum,Scaly Earthball
Scutellinia scutellata,Common Eyelash
Scytinostroma portentosum,Mothball Crust
Sebacina incrustans,Enveloping Crust
Serpula lacrymans,Dry Rot
Simocybe centunculus,Dingy Twiglet
Sistotrema confluens,Aromatic Earthfan
Skeletocutis nivea,Hazel Bracket
Sparassis crispa,Wood Cauliflower
Spathularia flavida,Yellow Fan
Sphaerobolus stellatus,Shooting Star
Spinellus fusiger,Bonnet Mould
Spongipellis delectans,Spongy Mazegill
Squamanita contortipes,Contorted Strangler
Squamanita paradoxa,Powdercap Strangler
Squamanita pearsonii,Strathy Strangler
Stagnicola perplexa,Puzzling Rootshank
Stephanospora caroticolor,Carroty False Truffle
Stereopsis vitellina,Roothole Rosette
Stereum gausapatum,Bleeding Oak Crust
Stereum hirsutum,Hairy Curtain Crust
Stereum ostrea,False Turkeytail
Stereum rugosum,Bleeding Broadleaf Crust
Stereum sanguinolentum,Bleeding Conifer Crust
Stereum subtomentosum,Yellowing Curtain Crust
Stigmatula astragali,Milk Vetch Dotty
Strobilomyces strobilaceus,Old Man of the Woods
Strobilurus esculentus,Sprucecone Cap
Strobilurus tenacellus,Pinecone Cap
Stropharia aeruginosa,Verdigris Roundhead 
Stropharia caerulea,Blue Roundhead
Stropharia coronilla,Garland Roundhead
Stropharia halophila,Dune Roundhead
Stropharia hornemannii,Conifer Roundhead
Stropharia inuncta,Smoky Roundhead
Stropharia pseudocyanea,Peppery Roundhead
Stropharia rugosoannulata,Wine Roundhead
Stropharia semiglobata,Dung Roundhead
Suillus bovinus,Bovine Bolete
Suillus bresadolae var. flavogriseus,Bearded Bolete
Suillus cavipes,Hollow Bolete
Suillus flavidus,Jellied Bolete
Suillus granulatus,Weeping Bolete
Suillus grevillei,Larch Bolete
Suillus luteus,Slippery Jack
Suillus placidus,Slippery White Bolete
Suillus variegatus,Velvet Bolete
Suillus viscidus,Sticky Bolete
Syzygospora tumefaciens,Toughshank Jellygall
Taphrina alni,Alder Tongue
Taphrina betulina,Birch Besom
Taphrina johansonii,Aspen Tongue
Taphrina pruni,Pocket Plum
Tapinella atrotomentosa,Velvet Rollrim
Tapinella panuoides,Oyster Rollrim
Tarzetta catinus,Greater Toothed Cup
Tarzetta cupularis,Toothed Cup
Tatraea dumbirensis,Beechwood Goblet
Tephrocybe fuscipes,Darkfoot Greyling
Tephrocybe osmophora,Sweet Greyling
Tephrocybe palustris,Sphagnum Greyling
Tephrocybe rancida,Rancid Greyling
Terana caerulea ,Cobalt Crust
Thelephora caryophyllea,Carnation Earthfan
Thelephora palmata,Stinking Earthfan
Thelephora terrestris,Earthfan
Tilletia anthoxanthi,Sweet Vernal Smut
Tilletia caries,Stinking Smut
Tracya hydrocharidis,Frogbit Smut
Trametes gibbosa,Lumpy Bracket
Trametes hirsuta,Hairy Bracket
Trametes suaveolens,Fragrant Bracket
Trametes versicolor,Turkeytail
Tremella encephala,Conifer Brain
Tremella foliacea,Leafy Brain
Tremella mesenterica,Yellow Brain
Tremella moriformis,Mulberry Brain
Tremella steidleri,Brown Brain
Tremellodendropsis tuberosa,Ashen Coral
Trichaptum abietinum,Purplepore Bracket
Trichoglossum hirsutum,Hairy Earthtongue
Trichoglossum rasum,Dune Earthtongue
Trichoglossum tetrasporum,Four Spored Earthtongue
Trichoglossum walteri,Short Spored Earthtongue
Tricholoma acerbum,Bitter Knight
Tricholoma aestuans,Acrid Knight
Tricholoma album,White Knight
Tricholoma apium,Scented Knight
Tricholoma atrosquamosum,Dark Scaled Knight
Tricholoma aurantium,Orange Knight
Tricholoma bufonium,Stinky Knight
Tricholoma cingulatum,Girdled Knight
Tricholoma colossus,Giant Knight 
Tricholoma columbetta,Blue Spot Knight
Tricholoma equestre,Yellow Knight
Tricholoma focale,Booted Knight
Tricholoma fulvum,Birch Knight
Tricholoma imbricatum,Matt Knight
Tricholoma inamoenum,Gassy Knight
Tricholoma lascivum,Aromatic Knight
Tricholoma matsutake,Spicy Knight
Tricholoma pessundatum,Tacked Knight
Tricholoma populinum,Poplar Knight
Tricholoma portentosum,Coalman
Tricholoma psammopus,Larch Knight
Tricholoma robustum,Robust Knight
Tricholoma saponaceum,Soapy Knight
Tricholoma scalpturatum,Yellowing Knight
Tricholoma sciodes,Beech Knight
Tricholoma sejunctum,Deceiving Knight
Tricholoma stans,Upright Knight
Tricholoma sulphurescens,Yellow Staining Knight
Tricholoma sulphureum,Sulphur Knight
Tricholoma terreum,Grey Knight
Tricholoma ustale,Burnt Knight
Tricholoma vaccinum,Scaly Knight
Tricholoma virgatum,Ashen Knight
Tricholomopsis decora,Prunes and Custard
Tricholomopsis rutilans,Plums and Custard
Triphragmium filipendulae,Dropwort Rust
Trochila ilicina,Holly Speckle
Tubaria conspersa,Felted Twiglet
Tubaria dispersa,Hawthorn Twiglet
Tubaria furfuracea,Scurfy Twiglet
Tuber aestivum,Summer Truffle
Tuber melanosporum,Black Truffle
Tulostoma brumale,Winter Stalkball
Tulostoma melanocyclum,Scaly Stalkball
Tulostoma niveum,White Stalkball
Tylopilus felleus,Bitter Bolete
Typhula erythropus,Redleg Club
Typhula quisquiliaris,Bracken Club
Uredinopsis filicina,Beech Fern Rust
Uredo oncidii,Lady's Tresses Rust
Urocystis alopecuri,Foxtail Smut
Urocystis avenae-elatioris,False Oat-Grass Smut
Urocystis colchici,Colchicum Smut
Urocystis floccosa,Green Hellebore Smut
Urocystis poae,Meadow Grass Smut
Urocystis primulicola,Bird's-eye Primrose Smut
Urocystis trientalis,Chickweed Wintergreen Smut
Uromyces colchici,Colchicum Rust
Uromyces dactylidis,Celandine Clustercup Rust
Uromyces ficariae,Bitter Chocolate Rust
Uromyces gageae,Yellow Star-of-Bethlehem Rust
Uromyces gentianae,Felwort Rust
Uromyces scutellatus,Cypress Spurge Rust
Uromyces tuberculatus,Dwarf Spurge Rust
Ustanciosporium gigantosporum,White Beak-sedge Smut
Ustanciosporium majus,Small Spored White Beak-sedge Smut
Ustilago corcontica,Purple Small-reed Stripe Smut
Ustilago echinata,Reed Canary-grass Smut
Ustilago hordei,Barley Covered Smut
Ustilago marina,Spike Rush Smut
Vankya ornithogali,Yellow Star-of-Bethlehem Smut
Verpa conica,Thimble Morel
Volvariella bombycina,Silky Rosegill
Volvariella gloiocephala,Stubble Rosegill
Volvariella reidii,Angel Rosegill 
Volvariella surrecta,Piggyback Rosegill
Vuilleminia comedens,Waxy Crust
Xenotypa aterrima,Birch Bark Stripper
Xerocomus chrysonemus,Goldenthread Bolete
Xerocomus silwoodensis,Poplar Bolete
Xeromphalina campanella,PInewood Gingertail
Xeromphalina cauticinalis,Pinelitter Gingertail
Xerula caussei,Hoary Rooting Shank
Xerula radicata,Rooting Shank
Xylaria bulbosa,Bulbous Candlesnuff
Xylaria carpophila,Beechmast Candlesnuff
Xylaria digitata,Fingered Candlesnuff
Xylaria guepinii,Dung Candlesnuff
Xylaria hippotrichoides,Horsehair Candlesnuff
Xylaria hypoxylon,Candlesnuff Fungus
Xylaria longipes,Dead Moll's Fingers
Xylaria oxyacanthae,Haw Candlesnuff
Xylaria polymorpha,Dead Man's Fingers
Agaricus crocopeplus,golden fleece mushroom
Agaricus subrufescens,almond mushroom
Albatrellus caeruleoporus,blue polypore
Albatrellus ovinus,Forest Lamb
Albatrellus peckianus,Peck's polypore
Amanita australis,southern amanita
Amanita caesarea,Caesar's Amanita
Amanita calyptroderma,Pacific amanita
Amanita daucipes,carrot amanita
Amanita flavoconia,yellow spotted amanita
Amanita jacksonii,American slender caesar
Amanita onusta,gunpowder amanita
Amauroderma rude,red staining stalked polypore
Amparoina spinosissima,flaky bonnet
Ampulloclitocybe avellaneoalba,smoky brown funnel
Anthracophyllum melanophyllum,cinnabar fan bracket
Aurantiporus pulcherrimus,strawberry bracket
Auricularia cornea,rubber ear
Austropaxillus macnabbii,orange rollrim
Boletellus obscurococcineus,rhubarb bolete
Boletellus russellii,pitted bolete
Boletopsis grisea,grey falsebolete
Boletus firmus,firm bolete
Boletus flammans,flame bolete
Boletus frostii,Frost's bolete
Boletus hortonii,corrugated bolete
Boletus reticuloceps,fishnet bolete
Boletus zelleri,Zeller's bolete
Bondarzewia montana,mountain polypore
Calostoma cinnabarina,red aspic puffball
